vox;algo;r1;ph;wf;ntf;snr;param;evalue;tvalue
1;LQ;0.5;0;0;0;5;t1est;0.596721;0.500000
1;LQ;0.5;0;0;0;5;m0est;1.013771;1.000000
1;LQ;0.5;0;0;0;5;bbya;2.409834;2.000000
2;LQ;0.5;0;0;0;5;t1est;0.526334;0.500000
2;LQ;0.5;0;0;0;5;m0est;1.003854;1.000000
2;LQ;0.5;0;0;0;5;bbya;2.333857;2.000000
3;LQ;0.5;0;0;0;5;t1est;0.525868;0.500000
3;LQ;0.5;0;0;0;5;m0est;1.019685;1.000000
3;LQ;0.5;0;0;0;5;bbya;1.990231;2.000000
4;LQ;0.5;0;0;0;5;t1est;0.485810;0.500000
4;LQ;0.5;0;0;0;5;m0est;1.042235;1.000000
4;LQ;0.5;0;0;0;5;bbya;1.890662;2.000000
5;LQ;0.5;0;0;0;5;t1est;0.546397;0.500000
5;LQ;0.5;0;0;0;5;m0est;1.035618;1.000000
5;LQ;0.5;0;0;0;5;bbya;2.098190;2.000000
6;LQ;0.5;0;0;0;5;t1est;0.555522;0.500000
6;LQ;0.5;0;0;0;5;m0est;1.016982;1.000000
6;LQ;0.5;0;0;0;5;bbya;2.258441;2.000000
7;LQ;0.5;0;0;0;5;t1est;0.533305;0.500000
7;LQ;0.5;0;0;0;5;m0est;1.011651;1.000000
7;LQ;0.5;0;0;0;5;bbya;2.103920;2.000000
8;LQ;0.5;0;0;0;5;t1est;0.466594;0.500000
8;LQ;0.5;0;0;0;5;m0est;1.006969;1.000000
8;LQ;0.5;0;0;0;5;bbya;2.115713;2.000000
9;LQ;0.5;0;0;0;5;t1est;0.468034;0.500000
9;LQ;0.5;0;0;0;5;m0est;1.010158;1.000000
9;LQ;0.5;0;0;0;5;bbya;2.184191;2.000000
10;LQ;0.5;0;0;0;5;t1est;0.567993;0.500000
10;LQ;0.5;0;0;0;5;m0est;1.009397;1.000000
10;LQ;0.5;0;0;0;5;bbya;2.128073;2.000000
1;LQ;1;0;0;0;5;t1est;0.872164;1.000000
1;LQ;1;0;0;0;5;m0est;1.018780;1.000000
1;LQ;1;0;0;0;5;bbya;1.953459;2.000000
2;LQ;1;0;0;0;5;t1est;1.025488;1.000000
2;LQ;1;0;0;0;5;m0est;1.033731;1.000000
2;LQ;1;0;0;0;5;bbya;2.079455;2.000000
3;LQ;1;0;0;0;5;t1est;0.944775;1.000000
3;LQ;1;0;0;0;5;m0est;0.995810;1.000000
3;LQ;1;0;0;0;5;bbya;1.978024;2.000000
4;LQ;1;0;0;0;5;t1est;1.036649;1.000000
4;LQ;1;0;0;0;5;m0est;1.024962;1.000000
4;LQ;1;0;0;0;5;bbya;2.097139;2.000000
5;LQ;1;0;0;0;5;t1est;0.971233;1.000000
5;LQ;1;0;0;0;5;m0est;0.986719;1.000000
5;LQ;1;0;0;0;5;bbya;2.029110;2.000000
6;LQ;1;0;0;0;5;t1est;0.902948;1.000000
6;LQ;1;0;0;0;5;m0est;0.997325;1.000000
6;LQ;1;0;0;0;5;bbya;2.120936;2.000000
7;LQ;1;0;0;0;5;t1est;0.980849;1.000000
7;LQ;1;0;0;0;5;m0est;1.000801;1.000000
7;LQ;1;0;0;0;5;bbya;2.181741;2.000000
8;LQ;1;0;0;0;5;t1est;0.940886;1.000000
8;LQ;1;0;0;0;5;m0est;1.005037;1.000000
8;LQ;1;0;0;0;5;bbya;2.047790;2.000000
9;LQ;1;0;0;0;5;t1est;1.017581;1.000000
9;LQ;1;0;0;0;5;m0est;1.027457;1.000000
9;LQ;1;0;0;0;5;bbya;2.121874;2.000000
10;LQ;1;0;0;0;5;t1est;1.041968;1.000000
10;LQ;1;0;0;0;5;m0est;1.020510;1.000000
10;LQ;1;0;0;0;5;bbya;2.201262;2.000000
1;LQ;1.5;0;0;0;5;t1est;1.528976;1.500000
1;LQ;1.5;0;0;0;5;m0est;0.993685;1.000000
1;LQ;1.5;0;0;0;5;bbya;2.239511;2.000000
2;LQ;1.5;0;0;0;5;t1est;1.425171;1.500000
2;LQ;1.5;0;0;0;5;m0est;0.961380;1.000000
2;LQ;1.5;0;0;0;5;bbya;2.150264;2.000000
3;LQ;1.5;0;0;0;5;t1est;1.433397;1.500000
3;LQ;1.5;0;0;0;5;m0est;0.967984;1.000000
3;LQ;1.5;0;0;0;5;bbya;2.210066;2.000000
4;LQ;1.5;0;0;0;5;t1est;1.541549;1.500000
4;LQ;1.5;0;0;0;5;m0est;1.045079;1.000000
4;LQ;1.5;0;0;0;5;bbya;2.171396;2.000000
5;LQ;1.5;0;0;0;5;t1est;1.534993;1.500000
5;LQ;1.5;0;0;0;5;m0est;0.984507;1.000000
5;LQ;1.5;0;0;0;5;bbya;2.190166;2.000000
6;LQ;1.5;0;0;0;5;t1est;1.617759;1.500000
6;LQ;1.5;0;0;0;5;m0est;0.992802;1.000000
6;LQ;1.5;0;0;0;5;bbya;2.233200;2.000000
7;LQ;1.5;0;0;0;5;t1est;1.276765;1.500000
7;LQ;1.5;0;0;0;5;m0est;0.930235;1.000000
7;LQ;1.5;0;0;0;5;bbya;2.189988;2.000000
8;LQ;1.5;0;0;0;5;t1est;1.484810;1.500000
