vox;algo;r2;foffset;ph;wf;ntf;snr;param;evalue;tvalue
1;LG;0.02;0;0;0;0;30;t2sest;0.068678;0.020000
1;LG;0.02;0;0;0;0;30;m0est;0.243437;1.000000
2;LG;0.02;0;0;0;0;30;t2sest;0.045591;0.020000
2;LG;0.02;0;0;0;0;30;m0est;0.333051;1.000000
3;LG;0.02;0;0;0;0;30;t2sest;0.055712;0.020000
3;LG;0.02;0;0;0;0;30;m0est;0.220278;1.000000
4;LG;0.02;0;0;0;0;30;t2sest;0.062788;0.020000
4;LG;0.02;0;0;0;0;30;m0est;0.223589;1.000000
5;LG;0.02;0;0;0;0;30;t2sest;0.042674;0.020000
5;LG;0.02;0;0;0;0;30;m0est;0.426592;1.000000
6;LG;0.02;0;0;0;0;30;t2sest;0.036523;0.020000
6;LG;0.02;0;0;0;0;30;m0est;0.389710;1.000000
7;LG;0.02;0;0;0;0;30;t2sest;0.053081;0.020000
7;LG;0.02;0;0;0;0;30;m0est;0.287849;1.000000
8;LG;0.02;0;0;0;0;30;t2sest;0.053200;0.020000
8;LG;0.02;0;0;0;0;30;m0est;0.364896;1.000000
9;LG;0.02;0;0;0;0;30;t2sest;0.044049;0.020000
9;LG;0.02;0;0;0;0;30;m0est;0.307526;1.000000
10;LG;0.02;0;0;0;0;30;t2sest;0.051769;0.020000
10;LG;0.02;0;0;0;0;30;m0est;0.370569;1.000000
1;LG;0.04;0;0;0;0;30;t2sest;0.053347;0.040000
1;LG;0.04;0;0;0;0;30;m0est;0.754543;1.000000
2;LG;0.04;0;0;0;0;30;t2sest;0.049002;0.040000
2;LG;0.04;0;0;0;0;30;m0est;0.792348;1.000000
3;LG;0.04;0;0;0;0;30;t2sest;0.042726;0.040000
3;LG;0.04;0;0;0;0;30;m0est;0.998891;1.000000
4;LG;0.04;0;0;0;0;30;t2sest;0.045794;0.040000
4;LG;0.04;0;0;0;0;30;m0est;0.879601;1.000000
5;LG;0.04;0;0;0;0;30;t2sest;0.047423;0.040000
5;LG;0.04;0;0;0;0;30;m0est;0.876925;1.000000
6;LG;0.04;0;0;0;0;30;t2sest;0.043787;0.040000
6;LG;0.04;0;0;0;0;30;m0est;0.915581;1.000000
7;LG;0.04;0;0;0;0;30;t2sest;0.047196;0.040000
7;LG;0.04;0;0;0;0;30;m0est;0.791282;1.000000
8;LG;0.04;0;0;0;0;30;t2sest;0.045134;0.040000
8;LG;0.04;0;0;0;0;30;m0est;0.825780;1.000000
9;LG;0.04;0;0;0;0;30;t2sest;0.032658;0.040000
9;LG;0.04;0;0;0;0;30;m0est;1.367566;1.000000
10;LG;0.04;0;0;0;0;30;t2sest;0.041363;0.040000
10;LG;0.04;0;0;0;0;30;m0est;0.892750;1.000000
1;LG;0.06;0;0;0;0;30;t2sest;0.049611;0.060000
1;LG;0.06;0;0;0;0;30;m0est;1.162103;1.000000
2;LG;0.06;0;0;0;0;30;t2sest;0.060243;0.060000
2;LG;0.06;0;0;0;0;30;m0est;1.021604;1.000000
3;LG;0.06;0;0;0;0;30;t2sest;0.062937;0.060000
3;LG;0.06;0;0;0;0;30;m0est;0.887642;1.000000
4;LG;0.06;0;0;0;0;30;t2sest;0.060692;0.060000
4;LG;0.06;0;0;0;0;30;m0est;0.998862;1.000000
5;LG;0.06;0;0;0;0;30;t2sest;0.055917;0.060000
5;LG;0.06;0;0;0;0;30;m0est;1.038544;1.000000
6;LG;0.06;0;0;0;0;30;t2sest;0.072382;0.060000
6;LG;0.06;0;0;0;0;30;m0est;0.818975;1.000000
7;LG;0.06;0;0;0;0;30;t2sest;0.056778;0.060000
7;LG;0.06;0;0;0;0;30;m0est;1.031562;1.000000
8;LG;0.06;0;0;0;0;30;t2sest;0.061221;0.060000
8;LG;0.06;0;0;0;0;30;m0est;0.981596;1.000000
9;LG;0.06;0;0;0;0;30;t2sest;0.064647;0.060000
9;LG;0.06;0;0;0;0;30;m0est;0.950307;1.000000
10;LG;0.06;0;0;0;0;30;t2sest;0.070368;0.060000
10;LG;0.06;0;0;0;0;30;m0est;0.866034;1.000000
1;LG;0.08;0;0;0;0;30;t2sest;0.065673;0.080000
1;LG;0.08;0;0;0;0;30;m0est;1.127236;1.000000
2;LG;0.08;0;0;0;0;30;t2sest;0.081441;0.080000
2;LG;0.08;0;0;0;0;30;m0est;1.006362;1.000000
3;LG;0.08;0;0;0;0;30;t2sest;0.091974;0.080000
3;LG;0.08;0;0;0;0;30;m0est;0.923816;1.000000
4;LG;0.08;0;0;0;0;30;t2sest;0.077286;0.080000
4;LG;0.08;0;0;0;0;30;m0est;1.001157;1.000000
5;LG;0.08;0;0;0;0;30;t2sest;0.082745;0.080000
5;LG;0.08;0;0;0;0;30;m0est;0.978426;1.000000
6;LG;0.08;0;0;0;0;30;t2sest;0.084899;0.080000
6;LG;0.08;0;0;0;0;30;m0est;0.952682;1.000000
7;LG;0.08;0;0;0;0;30;t2sest;0.077836;0.080000
7;LG;0.08;0;0;0;0;30;m0est;0.975130;1.000000
8;LG;0.08;0;0;0;0;30;t2sest;0.088737;0.080000
8;LG;0.08;0;0;0;0;30;m0est;0.938631;1.000000
9;LG;0.08;0;0;0;0;30;t2sest;0.074391;0.080000
9;LG;0.08;0;0;0;0;30;m0est;1.003187;1.000000
10;LG;0.08;0;0;0;0;30;t2sest;0.089843;0.080000
10;LG;0.08;0;0;0;0;30;m0est;0.944053;1.000000
1;LG;0.02;0;45;0;0;30;t2sest;0.068563;0.020000
1;LG;0.02;0;45;0;0;30;m0est;0.242181;1.000000
2;LG;0.02;0;45;0;0;30;t2sest;0.044076;0.020000
2;LG;0.02;0;45;0;0;30;m0est;0.324273;1.000000
3;LG;0.02;0;45;0;0;30;t2sest;0.038198;0.020000
3;LG;0.02;0;45;0;0;30;m0est;0.410941;1.000000
4;LG;0.02;0;45;0;0;30;t2sest;0.053871;0.020000
4;LG;0.02;0;45;0;0;30;m0est;0.285300;1.000000
5;LG;0.02;0;45;0;0;30;t2sest;0.068814;0.020000
5;LG;0.02;0;45;0;0;30;m0est;0.217723;1.000000
6;LG;0.02;0;45;0;0;30;t2sest;0.051751;0.020000
6;LG;0.02;0;45;0;0;30;m0est;0.336229;1.000000
7;LG;0.02;0;45;0;0;30;t2sest;0.050682;0.020000
7;LG;0.02;0;45;0;0;30;m0est;0.352721;1.000000
8;LG;0.02;0;45;0;0;30;t2sest;0.052578;0.020000
8;LG;0.02;0;45;0;0;30;m0est;0.369432;1.000000
9;LG;0.02;0;45;0;0;30;t2sest;0.040971;0.020000
9;LG;0.02;0;45;0;0;30;m0est;0.382397;1.000000
10;LG;0.02;0;45;0;0;30;t2sest;0.082711;0.020000
10;LG;0.02;0;45;0;0;30;m0est;0.181169;1.000000
1;LG;0.04;0;45;0;0;30;t2sest;0.049023;0.040000
1;LG;0.04;0;45;0;0;30;m0est;0.745471;1.000000
2;LG;0.04;0;45;0;0;30;t2sest;0.048076;0.040000
2;LG;0.04;0;45;0;0;30;m0est;0.852403;1.000000
3;LG;0.04;0;45;0;0;30;t2sest;0.047805;0.040000
3;LG;0.04;0;45;0;0;30;m0est;0.852967;1.000000
4;LG;0.04;0;45;0;0;30;t2sest;0.044061;0.040000
4;LG;0.04;0;45;0;0;30;m0est;0.831549;1.000000
5;LG;0.04;0;45;0;0;30;t2sest;0.045127;0.040000
5;LG;0.04;0;45;0;0;30;m0est;0.889805;1.000000
6;LG;0.04;0;45;0;0;30;t2sest;0.048278;0.040000
6;LG;0.04;0;45;0;0;30;m0est;0.836024;1.000000
7;LG;0.04;0;45;0;0;30;t2sest;0.040616;0.040000
7;LG;0.04;0;45;0;0;30;m0est;1.022469;1.000000
8;LG;0.04;0;45;0;0;30;t2sest;0.047995;0.040000
8;LG;0.04;0;45;0;0;30;m0est;0.867694;1.000000
9;LG;0.04;0;45;0;0;30;t2sest;0.045938;0.040000
9;LG;0.04;0;45;0;0;30;m0est;0.858434;1.000000
10;LG;0.04;0;45;0;0;30;t2sest;0.036925;0.040000
10;LG;0.04;0;45;0;0;30;m0est;1.115913;1.000000
1;LG;0.06;0;45;0;0;30;t2sest;0.057392;0.060000
1;LG;0.06;0;45;0;0;30;m0est;1.039354;1.000000
2;LG;0.06;0;45;0;0;30;t2sest;0.061480;0.060000
2;LG;0.06;0;45;0;0;30;m0est;0.999199;1.000000
3;LG;0.06;0;45;0;0;30;t2sest;0.049418;0.060000
3;LG;0.06;0;45;0;0;30;m0est;1.158272;1.000000
4;LG;0.06;0;45;0;0;30;t2sest;0.058935;0.060000
4;LG;0.06;0;45;0;0;30;m0est;1.022579;1.000000
5;LG;0.06;0;45;0;0;30;t2sest;0.054154;0.060000
5;LG;0.06;0;45;0;0;30;m0est;1.075747;1.000000
6;LG;0.06;0;45;0;0;30;t2sest;0.046275;0.060000
6;LG;0.06;0;45;0;0;30;m0est;1.301008;1.000000
7;LG;0.06;0;45;0;0;30;t2sest;0.060071;0.060000
7;LG;0.06;0;45;0;0;30;m0est;1.019779;1.000000
8;LG;0.06;0;45;0;0;30;t2sest;0.059580;0.060000
8;LG;0.06;0;45;0;0;30;m0est;1.025661;1.000000
9;LG;0.06;0;45;0;0;30;t2sest;0.056268;0.060000
9;LG;0.06;0;45;0;0;30;m0est;1.039069;1.000000
10;LG;0.06;0;45;0;0;30;t2sest;0.069715;0.060000
10;LG;0.06;0;45;0;0;30;m0est;0.870242;1.000000
